"SPECIES","R301","R302","R303","R304","R305","R306","R307","R308","R309","R310"
"Abies balsamea",NA,4,NA,NA,NA,NA,NA,NA,4,NA
"Acer pensylvanicum",NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"Acer rubrum",4,5,1,NA,1,5,5,3,5,4
"Alnus incana",NA,NA,NA,NA,4,NA,NA,5,NA,2
"Alnus viridis",NA,NA,NA,NA,NA,1,1,NA,NA,NA
"Amelanchier",NA,3,1,NA,NA,NA,NA,1,NA,5
"Andromeda polifolia",NA,NA,5,NA,NA,5,NA,NA,NA,NA
"Arethusa bulbosa",NA,NA,3,NA,NA,5,5,NA,NA,NA
"Aronia melanocarpa",1,NA,5,NA,NA,5,5,NA,NA,5
"Bartonia paniculata",NA,NA,NA,NA,NA,NA,2,NA,NA,NA
"Betula alleghaniensis",NA,1,NA,NA,NA,NA,NA,NA,1,NA
"Betula papyrifera",NA,4,NA,NA,NA,NA,NA,NA,2,1
"Brasenia schreberi",NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"Calamagrostis canadensis",NA,NA,NA,4,5,NA,NA,5,NA,NA
"Calopogon tuberosus",NA,NA,1,NA,NA,4,5,NA,NA,NA
"Carex atlantica",NA,2,NA,NA,NA,NA,NA,NA,NA,NA
"Carex billingsii",NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"Carex exilis",2,NA,4,NA,NA,3,NA,NA,NA,NA
"Carex folliculata",NA,3,NA,NA,NA,NA,NA,NA,NA,NA
"Carex lasiocarpa",3,NA,NA,5,5,4,NA,1,NA,NA
"Carex oligosperma",NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"Carex pauciflora",NA,3,NA,NA,NA,NA,NA,NA,NA,NA
"Carex stricta",4,1,NA,3,3,3,NA,5,2,5
"Carex trisperma",NA,5,NA,NA,NA,NA,NA,NA,5,NA
"Carex utriculata",4,NA,NA,5,4,4,NA,3,NA,NA
"Chamaedaphne calyculata",5,NA,5,4,NA,5,5,5,NA,5
"Cladium mariscoides",NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"Coptis trifolia",NA,2,NA,NA,NA,NA,NA,NA,5,NA
"Cornus canadensis",NA,1,NA,NA,NA,NA,NA,NA,5,5
"Dalibarda repens",NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"Drosera intermedia",5,NA,3,NA,NA,5,5,NA,NA,NA
"Drosera rotundifolia",5,5,5,NA,3,5,5,1,5,5
"Dulichium arundinaceum",3,NA,NA,5,NA,NA,NA,NA,NA,NA
"Eleocharis parvula",2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Empetrum nigrum",NA,NA,5,NA,NA,NA,NA,NA,NA,NA
"Epilobium leptophyllum",NA,NA,NA,NA,1,NA,NA,1,NA,NA
"Eriocaulon aquaticum",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eriophorum angustifolium",NA,NA,5,NA,NA,2,5,NA,NA,1
"Eriophorum vaginatum",NA,NA,2,NA,NA,NA,NA,NA,NA,NA
"Eriophorum virginicum",3,2,2,1,NA,3,4,NA,2,NA
"Eurybia radula",NA,1,NA,NA,NA,1,NA,NA,5,1
"Frangula alnus",NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"Gaultheria hispidula",NA,5,NA,NA,1,NA,NA,NA,5,NA
"Gaultheria procumbens",NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"Gaylussacia baccata",1,3,2,NA,NA,NA,NA,NA,5,5
"Gaylussacia dumosa",1,NA,5,NA,NA,NA,5,NA,NA,1
"Glyceria canadensis",NA,NA,NA,4,NA,NA,NA,NA,NA,NA
"Glyceria obtusa",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Glyceria striata",NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"Ilex glabra",NA,NA,NA,NA,NA,NA,5,NA,NA,NA
"Ilex mucronata",NA,4,4,NA,NA,1,3,2,5,5
"Ilex verticillata",NA,2,NA,NA,1,3,NA,5,2,4
"Iris versicolor",NA,NA,NA,NA,NA,NA,NA,NA,1,NA
"Juncus acuminatus",NA,NA,NA,4,NA,NA,5,NA,NA,NA
"Juncus brevicaudatus",NA,NA,NA,5,NA,NA,NA,NA,NA,NA
"Juncus canadensis",1,NA,NA,NA,1,NA,NA,NA,NA,NA
"Juncus pelocarpus",4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Juniperus communis",NA,NA,3,NA,NA,NA,NA,NA,NA,NA
"Kalmia angustifolia",3,4,5,NA,NA,2,2,NA,5,5
"Kalmia polifolia",1,NA,5,NA,NA,NA,NA,NA,NA,1
"Larix laricina",5,5,3,NA,NA,NA,3,2,5,5
"Ledum groenlandicum",1,NA,4,NA,NA,NA,1,1,NA,5
"Linnaea borealis",NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"Lycopus uniflorus",NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"Lysimachia terrestris",1,NA,NA,4,NA,NA,NA,NA,NA,NA
"Maianthemum canadense",NA,2,NA,NA,NA,NA,NA,NA,1,NA
"Maianthemum trifolium",1,NA,NA,NA,NA,NA,NA,NA,2,1
"Mitchella repens",NA,2,NA,NA,NA,NA,NA,NA,NA,NA
"Monotropa uniflora",NA,NA,NA,NA,NA,NA,NA,NA,1,NA
"Morella pensylvanica",NA,1,NA,NA,NA,NA,NA,NA,5,2
"Muhlenbergia uniflora",NA,NA,NA,NA,NA,5,NA,NA,NA,NA
"Myrica gale",4,NA,2,5,NA,5,5,5,NA,NA
"Nuphar lutea ssp. variegata",NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"Oclemena acuminata",NA,NA,NA,NA,NA,NA,NA,NA,5,NA
"Oclemena nemoralis",2,NA,NA,NA,NA,5,5,NA,NA,NA
"Oclemena xblakei",NA,4,NA,NA,NA,NA,NA,NA,NA,NA
"Osmunda cinnamomea",NA,4,NA,NA,NA,NA,NA,NA,5,3
"Osmunda regalis",NA,5,NA,NA,NA,NA,NA,NA,2,NA
"Picea mariana",1,5,4,NA,1,NA,3,3,5,5
"Picea rubens",NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"Pinus banksiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"Pinus strobus",2,5,NA,NA,NA,NA,NA,NA,NA,NA
"Platanthera clavellata",NA,2,NA,NA,NA,NA,NA,NA,NA,NA
"Pogonia ophioglossoides",1,NA,NA,NA,NA,3,2,NA,NA,NA
"Potamogeton oakesianus",NA,NA,NA,4,NA,NA,NA,NA,NA,NA
"Rhododendron canadense",1,4,2,NA,NA,2,NA,NA,1,5
"Rhynchospora alba",5,NA,5,NA,NA,5,5,NA,NA,NA
"Rhynchospora fusca",NA,NA,3,NA,NA,NA,NA,NA,NA,NA
"Rosa nitida",NA,NA,NA,NA,NA,2,NA,2,NA,NA
"Rubus hispidus",NA,2,NA,NA,1,4,NA,NA,NA,NA
"Rubus idaeus",NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"Sarracenia purpurea",4,1,5,NA,NA,5,5,NA,5,5
"Solidago uliginosa",NA,NA,5,NA,NA,5,1,1,NA,NA
"Sorbus americana",NA,1,NA,NA,NA,NA,NA,NA,1,NA
"Sparganium americanum",NA,NA,NA,4,NA,NA,NA,1,NA,NA
"Sparganium emersum",NA,NA,NA,2,NA,NA,NA,NA,NA,NA
"Spiraea alba",1,NA,NA,4,5,2,NA,5,NA,1
"Spiraea tomentosa",1,NA,NA,NA,5,NA,NA,1,NA,NA
"Symplocarpus foetidus",NA,NA,1,NA,NA,NA,2,NA,NA,NA
"Thelypteris palustris",NA,NA,NA,NA,5,NA,NA,NA,NA,NA
"Thuja occidentalis",NA,5,NA,NA,2,NA,4,1,5,5
"Triadenum virginicum",2,NA,NA,1,5,2,NA,3,NA,NA
"Trichophorum cespitosum",NA,NA,5,NA,NA,NA,NA,NA,NA,NA
"Trientalis borealis",NA,5,2,NA,NA,NA,NA,NA,5,4
"Tsuga canadensis",NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"Typha latifolia",NA,NA,NA,2,2,NA,NA,NA,NA,NA
"Utricularia cornuta",2,NA,2,NA,NA,2,3,NA,NA,NA
"Utricularia gibba",NA,NA,NA,3,NA,NA,NA,NA,NA,NA
"Utricularia intermedia",NA,NA,NA,2,NA,NA,NA,NA,NA,NA
"Utricularia purpurea",2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Uvularia sessilifolia",NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"Vaccinium angustifolium",NA,5,1,NA,NA,NA,NA,NA,5,1
"Vaccinium corymbosum",NA,3,NA,NA,NA,NA,NA,NA,2,NA
"Vaccinium macrocarpon",4,1,NA,1,3,5,5,4,NA,NA
"Vaccinium myrtilloides",NA,1,NA,NA,NA,NA,NA,NA,1,NA
"Vaccinium oxycoccos",3,1,5,NA,NA,NA,5,NA,NA,5
"Vaccinium vitis-idaea",NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"Viburnum nudum",NA,4,2,NA,NA,NA,NA,NA,5,5
"Viola",NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"Xyris montana",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
